Age,Monthly_Income,Employment_Type,Loan_Amount,Loan_Tenure,Existing_EMI,Past_Default,Credit_Score,Eligibility_Status
54,28807,Self-Employed,307594,31,27132,0,513,0
53,57348,Self-Employed,561897,13,20109,0,464,0
43,41432,Salaried,402744,41,16163,1,819,1
44,98285,Self-Employed,566142,53,20960,0,583,1
57,106792,Self-Employed,87641,35,5782,0,816,2
55,72854,Salaried,603999,28,22641,0,463,0
64,55262,Salaried,419040,47,26177,0,363,0
60,52080,Salaried,717542,49,18792,0,390,0
42,16324,Self-Employed,662121,19,16724,0,416,0
47,106267,Self-Employed,368420,19,2817,0,566,1
55,50909,Salaried,331685,7,15096,0,439,0
21,104339,Salaried,525526,42,18880,0,545,0
55,34870,Salaried,94813,10,22346,0,694,1
57,49578,Self-Employed,742558,43,29506,0,786,2
34,87124,Self-Employed,714180,50,5299,0,775,2
23,118605,Self-Employed,336214,46,9917,0,816,2
21,41790,Self-Employed,392703,59,23958,0,483,0
25,40289,Salaried,254615,52,18073,0,319,0
46,70129,Salaried,526657,19,3267,0,823,2
34,108714,Salaried,616074,44,4406,0,828,2
59,109246,Salaried,449953,30,24837,1,446,0
47,30485,Self-Employed,337654,25,17826,0,603,1
29,59482,Self-Employed,331570,7,24981,0,527,0
35,101188,Salaried,87265,44,10382,0,401,0
35,19748,Salaried,299321,11,4437,0,716,2
46,101769,Self-Employed,116150,22,5435,0,515,0
62,24435,Salaried,661600,30,24819,1,706,1
33,18709,Self-Employed,139613,33,29161,0,698,1
52,45355,Salaried,387054,7,4107,0,798,2
59,70771,Salaried,171826,40,560,0,764,2
52,72799,Salaried,609723,42,12329,0,381,0
24,28116,Salaried,500348,10,27301,0,664,1
50,40470,Salaried,260017,6,25169,0,462,0
57,57344,Salaried,184055,45,21932,0,347,0
43,57918,Salaried,540457,17,1826,0,810,2
59,67224,Self-Employed,726022,41,11421,0,628,1
35,54298,Self-Employed,783547,50,27863,1,415,0
63,95219,Self-Employed,746358,28,12265,0,636,1
49,76629,Self-Employed,500062,52,7629,0,446,0
56,81040,Self-Employed,144071,36,8325,0,622,1
33,114518,Salaried,356691,16,19522,0,742,2
52,114835,Salaried,196389,15,28495,1,312,0
27,43016,Self-Employed,689896,8,29619,0,793,2
42,38960,Salaried,319708,59,7693,0,586,1
48,48591,Self-Employed,732705,19,8264,1,413,0
22,97848,Self-Employed,688112,21,12686,0,779,2
62,118333,Salaried,304444,15,13716,1,321,0
26,82641,Salaried,653561,34,24226,0,648,1
48,51395,Salaried,261837,15,6721,0,619,1
48,37700,Self-Employed,160017,17,23386,0,425,0
64,49620,Salaried,173618,35,20609,0,576,1
64,118214,Self-Employed,509297,46,19362,1,503,0
40,35559,Self-Employed,175341,6,7373,0,493,0
50,108045,Self-Employed,780892,10,5907,0,846,2
31,108396,Salaried,602076,25,22481,0,585,1
48,76642,Salaried,491759,13,16127,0,356,0
45,91539,Self-Employed,614262,48,28937,0,602,1
59,36732,Salaried,590659,17,5656,1,462,0
53,106362,Salaried,472845,6,26561,0,318,0
21,45354,Salaried,756544,59,8984,0,669,1
47,28843,Self-Employed,374060,25,29984,0,563,1
33,86726,Self-Employed,648260,33,20643,0,412,0
61,32640,Salaried,243259,48,8286,0,787,2
23,67528,Self-Employed,325128,42,5901,0,626,1
59,53413,Salaried,659719,52,25709,1,841,1
26,67638,Salaried,453832,42,4917,0,364,0
28,67736,Salaried,679661,17,8429,0,591,1
47,83866,Salaried,231144,42,14716,0,324,0
29,34087,Self-Employed,300195,54,15795,1,848,1
57,56430,Self-Employed,193748,54,11138,0,300,0
53,39504,Self-Employed,454032,49,2530,0,848,2
62,22114,Salaried,82733,33,18344,0,440,0
64,93859,Salaried,791040,52,23429,0,487,0
44,114657,Salaried,576338,20,17432,0,427,0
35,25975,Self-Employed,159996,11,5772,0,500,0
52,26023,Salaried,608221,49,15476,0,426,0
52,36447,Self-Employed,599239,25,18913,0,556,1
44,105469,Self-Employed,606701,55,15751,1,846,1
61,38959,Self-Employed,215873,19,2964,0,493,0
32,81203,Self-Employed,760979,7,7137,0,403,0
59,44703,Self-Employed,483816,14,17347,0,834,2
22,24337,Self-Employed,763135,42,16920,0,564,0
23,61427,Salaried,271888,25,13891,0,683,1
57,76529,Salaried,795453,31,7340,0,559,1
37,117023,Self-Employed,216472,34,23563,0,713,2
22,99665,Self-Employed,447710,6,7967,0,657,1
22,46921,Salaried,261760,40,12415,0,374,0
48,48307,Self-Employed,172744,11,11871,0,654,1
43,42355,Self-Employed,780051,42,28763,0,487,0
57,118268,Salaried,551946,58,11916,0,589,1
52,19835,Self-Employed,93001,10,8734,0,344,0
53,35159,Self-Employed,641652,38,845,0,382,0
21,119346,Self-Employed,288506,54,28179,0,422,0
39,62605,Salaried,480789,56,22161,0,657,1
22,53088,Salaried,706166,19,19420,0,827,2
64,93752,Salaried,761998,17,22331,0,365,0
46,70284,Self-Employed,702589,47,2494,0,674,1
52,72043,Self-Employed,549722,25,12677,1,461,0
26,50547,Salaried,735117,58,19103,1,679,1
52,112007,Self-Employed,608924,55,18268,1,657,1
24,97844,Self-Employed,785457,29,12330,0,487,0
31,42532,Self-Employed,229352,48,20733,0,621,1
37,49349,Self-Employed,243283,39,27777,1,749,1
58,60445,Self-Employed,500195,30,5179,0,773,2
44,20713,Salaried,481413,55,27286,0,312,0
25,71178,Self-Employed,353988,34,6610,0,483,0
54,64407,Salaried,376898,44,6430,0,410,0
26,85340,Self-Employed,352186,36,7154,1,807,1
42,65990,Salaried,111665,52,13828,0,589,1
31,90672,Self-Employed,296584,48,10145,0,594,1
36,80545,Salaried,166953,55,6488,0,750,2
53,99791,Self-Employed,526072,28,21121,0,514,0
29,73141,Salaried,732736,49,22909,0,326,0
26,38793,Self-Employed,236626,43,3850,0,530,0
36,71570,Salaried,195271,25,17073,0,620,1
49,110084,Self-Employed,168533,28,13564,1,532,0
23,52892,Salaried,648069,50,26526,0,736,2
40,16015,Salaried,515966,57,21559,0,832,0
56,76813,Self-Employed,116262,21,25032,0,702,2
39,42712,Self-Employed,126898,55,5078,0,352,0
46,115497,Salaried,505699,47,26706,0,612,1
23,23415,Self-Employed,199369,13,12168,0,580,1
39,77292,Salaried,604736,55,29794,0,330,0
40,38833,Salaried,338316,26,28820,0,636,1
52,19158,Salaried,57657,6,5448,1,482,0
27,77680,Self-Employed,527602,13,17563,0,322,0
61,35309,Salaried,424999,34,28861,0,843,2
53,21970,Salaried,734191,37,28141,0,745,0
60,87474,Self-Employed,57906,43,9074,0,373,0
59,101704,Self-Employed,373557,10,6406,0,309,0
38,61540,Self-Employed,628316,52,24975,1,783,1
60,35384,Self-Employed,345804,27,23291,1,755,1
21,33017,Salaried,518974,52,8800,0,459,0
31,90880,Salaried,765080,39,14083,1,313,0
48,23702,Salaried,677267,6,1638,0,477,0
45,15384,Salaried,84701,31,22055,0,711,2
43,15404,Self-Employed,133300,48,23312,0,352,0
51,55943,Salaried,723034,15,10340,1,707,1
50,62926,Salaried,133560,35,1382,0,321,0
62,44189,Self-Employed,292615,55,1403,0,329,0
55,27763,Salaried,93642,23,9011,0,559,1
27,33384,Salaried,567083,22,3292,0,504,0
36,75100,Salaried,541036,31,9011,0,358,0
46,113142,Salaried,377304,13,419,1,770,1
22,24860,Salaried,415464,52,12411,0,765,2
21,119293,Salaried,663089,45,4517,0,311,0
32,95642,Self-Employed,338075,54,19686,1,589,1
25,65612,Self-Employed,144377,17,24241,0,653,1
57,38574,Salaried,376916,32,15422,1,374,0
52,38524,Salaried,501978,13,9700,0,740,2
29,84172,Self-Employed,362250,30,24254,0,540,0
61,25916,Salaried,655409,51,5693,0,453,0
55,19809,Salaried,75559,9,767,1,395,0
39,47201,Salaried,608030,38,18428,0,593,1
36,68330,Self-Employed,727114,6,14818,0,508,0
23,28456,Salaried,185044,24,26715,0,642,1
40,71397,Self-Employed,162217,36,27605,0,387,0
44,53765,Salaried,616161,21,1549,0,689,1
53,49816,Self-Employed,453119,19,9956,0,624,1
44,60106,Self-Employed,708380,58,6140,1,456,0
31,68932,Salaried,136988,53,10837,0,436,0
28,32100,Self-Employed,619936,10,3716,0,727,2
56,72091,Salaried,175991,46,29181,0,751,2
58,36949,Self-Employed,452732,31,29878,1,440,0
60,85080,Salaried,556079,33,4481,0,382,0
40,52744,Salaried,576684,7,24282,0,476,0
55,60543,Self-Employed,134082,55,6548,0,497,0
45,107193,Salaried,178322,11,18677,0,720,2
55,51187,Salaried,706951,14,4837,0,700,2
45,22239,Self-Employed,61303,38,7758,0,770,2
49,29489,Salaried,211633,46,10900,0,517,0
38,73017,Salaried,383863,30,23177,0,474,0
38,76877,Self-Employed,299690,53,24022,0,322,0
22,58125,Self-Employed,149616,18,7993,0,534,0
55,64922,Salaried,136231,14,22391,0,312,0
36,109074,Salaried,319458,58,5542,0,400,0
61,47049,Self-Employed,69623,18,25476,0,835,2
56,52131,Self-Employed,773035,36,27660,0,822,2
53,57944,Salaried,540042,46,22740,0,751,2
24,88963,Self-Employed,508298,16,26585,0,730,2
53,39285,Salaried,526840,9,24817,0,832,2
34,52626,Salaried,155228,39,14828,0,592,1
41,57808,Salaried,476346,43,23764,0,400,0
40,103464,Salaried,757116,51,16052,0,801,2
28,68871,Salaried,731652,9,2385,0,603,1
27,34198,Self-Employed,570547,43,14308,0,839,2
23,34758,Self-Employed,119274,24,20652,0,654,1
37,30254,Self-Employed,183541,11,671,0,602,1
53,59238,Self-Employed,103947,39,163,0,795,2
32,16252,Salaried,727894,23,8656,1,526,0
42,54764,Salaried,244692,18,11234,0,535,0
42,92709,Salaried,98874,46,20976,0,754,2
50,52441,Salaried,623996,28,4795,0,312,0
58,107234,Self-Employed,124553,24,10634,0,509,0
58,68682,Salaried,642632,50,4798,0,696,1
28,74494,Salaried,759662,16,22420,0,399,0
47,96317,Self-Employed,621926,6,18739,0,330,0
47,80215,Self-Employed,128249,29,22271,1,827,1
54,93587,Self-Employed,577007,59,28854,0,628,1
41,21949,Self-Employed,728250,12,29300,0,465,0
50,70393,Salaried,520452,30,24345,0,758,2
53,88553,Salaried,479725,26,10749,0,399,0
48,21941,Self-Employed,92534,20,5827,0,472,0
53,40934,Salaried,545518,6,25121,0,461,0
25,38386,Salaried,666529,17,4719,0,562,1
39,76886,Salaried,462003,12,28411,0,573,1
24,90745,Self-Employed,176209,20,593,0,302,0
55,98251,Salaried,492061,26,21223,0,327,0
37,109456,Self-Employed,239004,24,7394,0,625,1
64,68413,Salaried,666412,34,14056,1,448,0
48,71800,Salaried,665947,30,28380,1,839,1
50,112239,Salaried,214134,38,26035,0,787,2
49,57318,Self-Employed,125713,54,19877,0,737,2
26,85173,Salaried,792623,37,27177,0,364,0
55,85390,Self-Employed,538972,54,22548,0,655,1
61,67329,Self-Employed,125418,40,10636,1,832,1
57,58088,Self-Employed,178232,49,19056,0,551,1
44,118196,Salaried,570551,43,20584,0,534,0
49,54811,Salaried,213038,31,16,0,526,0
51,70479,Salaried,218383,16,3191,0,824,2
55,100392,Salaried,375996,40,392,0,612,1
53,102369,Self-Employed,308722,13,25000,1,348,0
41,34963,Self-Employed,182079,51,6272,0,417,0
52,70123,Self-Employed,252053,19,16955,0,353,0
43,117468,Salaried,650530,15,3631,1,343,0
53,107705,Self-Employed,228589,7,6172,0,352,0
23,88477,Salaried,553238,51,9312,0,824,2
38,29388,Self-Employed,79257,14,23561,0,401,0
45,20569,Salaried,530488,8,24817,0,697,1
62,84836,Salaried,485423,26,20281,1,437,0
51,119573,Self-Employed,194353,31,28671,0,686,1
23,51586,Self-Employed,373390,13,24507,1,410,0
60,27015,Self-Employed,313579,53,18663,0,316,0
44,60002,Self-Employed,279947,7,25364,1,481,0
52,21254,Salaried,281758,11,23835,0,835,2
42,32144,Self-Employed,665645,33,8906,0,840,1
43,39214,Self-Employed,207732,58,29430,0,470,0
22,95719,Self-Employed,777955,34,27425,1,708,1
47,86774,Salaried,658095,31,17159,0,677,1
62,21090,Salaried,488755,30,28602,0,487,0
22,26637,Self-Employed,188563,17,23253,0,529,0
46,37415,Salaried,556047,10,18631,0,418,0
37,39071,Self-Employed,755552,39,23472,1,455,0
60,73243,Salaried,376032,53,16462,0,764,2
53,56240,Salaried,647897,42,8080,0,403,0
29,98807,Salaried,303973,20,7099,0,801,2
63,116570,Salaried,333097,49,20310,0,474,0
59,48434,Self-Employed,426826,41,25431,0,720,2
49,84724,Self-Employed,564257,20,23724,0,433,0
62,90697,Self-Employed,729181,48,14916,0,690,1
46,43732,Salaried,480783,53,7083,0,800,2
55,26314,Self-Employed,165374,28,22614,0,332,0
45,38954,Self-Employed,599148,11,26724,0,354,0
44,72108,Self-Employed,726555,51,9223,0,818,2
33,102044,Salaried,651763,55,4940,0,311,0
27,102505,Salaried,534090,49,19655,0,827,2
56,118081,Salaried,726787,48,28152,1,672,1
40,51668,Self-Employed,339227,50,28758,1,783,1
21,38061,Self-Employed,792406,26,3456,0,527,0
28,94252,Self-Employed,698074,28,7788,0,606,1
36,54749,Salaried,582101,48,28082,1,756,1
34,119680,Salaried,81598,21,24983,0,459,0
32,31907,Self-Employed,555934,52,24034,0,630,1
43,33777,Salaried,667394,58,2711,0,524,0
35,108229,Salaried,339226,20,11280,0,803,2
48,66745,Salaried,277286,30,18052,0,755,2
54,106865,Salaried,487785,41,16531,0,344,0
22,96818,Self-Employed,61745,16,22804,1,513,0
52,38624,Salaried,194097,56,28903,1,358,0
43,38321,Salaried,282732,20,12089,0,494,0
42,25488,Salaried,719648,9,10142,0,788,1
45,37574,Salaried,663474,26,16749,0,456,0
42,20240,Self-Employed,263030,18,15587,0,525,0
42,58221,Self-Employed,774238,27,9866,0,711,2
62,25478,Salaried,616134,24,4531,0,504,0
26,70645,Salaried,388076,39,12686,1,378,0
35,34262,Salaried,198554,19,5330,0,423,0
63,67796,Salaried,335555,9,5510,0,770,2
57,19432,Salaried,494191,53,27122,1,517,0
53,110257,Salaried,503761,58,25138,0,815,2
28,79291,Self-Employed,555518,57,28138,0,403,0
64,94104,Salaried,390941,51,27065,0,692,1
64,74399,Self-Employed,364451,32,29956,0,733,2
25,94714,Self-Employed,334186,34,8964,0,630,1
59,65428,Salaried,627218,52,6493,0,442,0
24,102731,Self-Employed,487629,33,26613,0,839,2
26,15302,Self-Employed,274695,40,27999,1,577,1
52,97558,Self-Employed,345900,13,10759,0,532,0
50,15055,Self-Employed,103268,21,5439,0,828,2
55,23717,Self-Employed,482430,47,14473,0,389,0
60,43699,Self-Employed,262943,41,9765,0,791,2
36,88686,Salaried,471818,35,28270,0,498,0
33,82661,Self-Employed,758691,23,13279,0,661,1
62,59247,Self-Employed,623189,7,6511,0,740,2
50,31748,Self-Employed,412130,54,11483,0,325,0
39,19621,Salaried,244488,18,23888,0,324,0
37,30034,Self-Employed,737556,9,17630,0,693,1
39,20126,Salaried,440530,31,28295,0,806,1
48,20122,Self-Employed,712784,30,20223,1,600,0
46,33030,Salaried,291531,35,24935,0,638,1
57,97838,Salaried,296693,16,29592,0,566,1
46,99717,Self-Employed,753650,12,2376,0,760,2
43,70658,Self-Employed,600719,36,19393,0,755,2
29,53638,Salaried,288360,49,27569,0,659,1
32,82067,Self-Employed,394855,15,25538,0,367,0
21,103869,Salaried,557403,44,11824,0,711,2
21,49674,Salaried,76385,18,18211,0,790,2
54,50854,Salaried,481374,36,6979,0,348,0
52,61271,Salaried,466235,12,26189,0,401,0
45,88688,Salaried,330783,54,9832,0,515,0
60,53518,Self-Employed,135530,47,26792,1,737,1
21,25267,Salaried,333707,47,12504,0,458,0
36,105825,Salaried,427816,41,24953,0,788,2
59,16062,Self-Employed,479660,25,28790,0,541,0
25,65448,Salaried,451927,9,20669,0,304,0
42,110462,Self-Employed,779678,59,6910,0,660,1
49,21229,Self-Employed,395114,12,24945,0,758,2
23,71793,Self-Employed,293373,59,14089,0,547,0
32,62915,Salaried,397697,6,2196,0,721,2
46,19632,Salaried,211779,49,20131,0,314,0
36,119592,Salaried,220182,50,25227,0,421,0
57,18596,Self-Employed,767148,47,5978,0,576,0
42,21168,Salaried,657167,52,21991,0,752,0
49,22561,Self-Employed,288260,18,17153,0,689,1
34,88794,Salaried,720611,27,26997,0,593,1
48,97152,Self-Employed,696701,59,780,0,745,2
25,41734,Salaried,380904,26,9908,0,509,0
50,21371,Salaried,97837,27,6303,0,601,1
25,41069,Salaried,568349,33,14686,1,522,0
32,94905,Self-Employed,602829,14,3983,0,302,0
36,27910,Self-Employed,129083,31,9503,0,817,2
46,88479,Salaried,608819,14,27935,0,392,0
46,92735,Salaried,320856,20,29921,0,819,2
41,96264,Self-Employed,416245,15,25098,0,727,2
59,38275,Self-Employed,649032,29,16905,0,792,2
56,87274,Self-Employed,704037,47,13070,1,534,0
53,96449,Salaried,656791,13,26896,0,460,0
50,115776,Self-Employed,304346,29,25511,0,630,1
57,75004,Salaried,659996,21,23953,1,632,1
43,77981,Self-Employed,765472,54,26806,0,349,0
30,99659,Salaried,676759,31,12232,0,822,2
25,69553,Self-Employed,207661,32,22168,0,791,2
56,63447,Self-Employed,735375,42,4583,0,571,1
54,49529,Self-Employed,210081,9,5946,0,551,1
51,90703,Self-Employed,438590,55,21325,1,389,0
30,91090,Self-Employed,767406,29,22651,0,745,2
39,32260,Salaried,731503,24,16377,0,631,1
52,18812,Self-Employed,56154,41,7128,0,438,0
21,43024,Self-Employed,727164,44,11889,0,656,1
25,73656,Self-Employed,114288,15,27413,1,573,1
24,42285,Salaried,101195,30,12275,0,318,0
36,107436,Self-Employed,332725,23,2461,0,610,1
44,16605,Salaried,495864,24,14291,0,453,0
36,86158,Self-Employed,342231,41,14036,0,689,1
22,87303,Self-Employed,755290,15,11435,0,559,1
48,42139,Salaried,214053,38,27935,0,424,0
52,92149,Self-Employed,643586,55,685,0,653,1
47,71138,Salaried,780664,10,18544,0,572,1
40,91125,Salaried,486624,52,23415,0,544,0
44,28918,Self-Employed,89499,54,28564,0,749,2
32,100655,Salaried,437960,40,12258,0,546,0
55,42446,Self-Employed,495485,49,26143,0,819,2
53,28046,Self-Employed,743919,39,21725,0,440,0
53,39818,Salaried,295198,38,15990,0,661,1
63,115894,Salaried,517535,26,16422,0,307,0
57,19324,Salaried,670635,22,10736,0,777,0
32,91323,Salaried,360931,27,4875,0,651,1
23,24111,Self-Employed,347632,53,17640,0,794,2
21,53110,Self-Employed,386585,42,11182,1,726,1
53,31389,Salaried,780023,20,24081,0,338,0
60,56427,Self-Employed,72431,40,2196,0,486,0
30,94579,Self-Employed,373825,33,28044,0,392,0
63,43746,Self-Employed,244555,12,7165,0,385,0
64,102886,Self-Employed,697008,37,27284,0,343,0
49,15117,Salaried,623441,16,15997,0,436,0
33,99471,Salaried,318512,15,14215,1,720,1
32,28234,Self-Employed,226076,14,301,0,373,0
51,118864,Salaried,269724,19,23911,1,847,1
22,68441,Salaried,631273,18,22765,0,811,2
55,15846,Salaried,364470,30,17030,0,455,0
43,25954,Self-Employed,683025,7,29334,1,554,1
37,94239,Self-Employed,786421,40,14571,0,470,0
46,61514,Self-Employed,728758,12,9951,0,469,0
28,103236,Salaried,100861,26,28927,0,621,1
49,112579,Self-Employed,388041,23,25173,0,755,2
46,21469,Self-Employed,262977,8,25237,0,454,0
30,45105,Salaried,701406,47,20714,0,648,1
46,57101,Self-Employed,771001,59,25944,0,750,2
54,79323,Self-Employed,59078,44,10773,0,472,0
61,106922,Salaried,374912,46,23387,0,309,0
